type,text
ham,Its ok my arm is feeling weak cuz i got a shot so we can go another time
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send COLLECT to 83600 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
ham,HMM yeah if your not too grooved out! And im looking forward to my pound special :)
ham,Me i'm not workin. Once i get job...
spam,"Your free ringtone is waiting to be collected. Simply text the password MIX to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
ham,Yup but not studying surfing lor. I'm in e lazy mode today.
ham,Sure but since my parents will be working on Tuesday I don't really need a cover story
ham,Wat's my dear doing? Sleeping ah?
ham,I place all ur points on e cultures module already.
ham,Customer place i will call you
ham,"Sorry man, accidentally left my phone on silent last night and didn't check it til I got up"
ham,Lmao ok I wont be needing u to do my hair anymore.
ham,Erm. I thought the contract ran out the4th of october.
ham,Hi good mornin.. Thanku wish u d same..
spam,Todays Voda numbers ending 1225 are selected to receive a £50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app 
ham,"Ok omw now, you at castor?"
ham,Ok i found dis pierre cardin one which looks normal costs 20 its on sale.
ham,Ok... I din get ur msg...
ham,Wat time u finish ur lect today?
ham,"Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*"
spam,"Oh my god! I've found your number again! I'm so glad, text me back xafter this msgs cst std ntwk chg £1.50"
ham,I will reach office around  DECIMAL . & my mobile have problem. You cann't get my voice. So call you asa i'll free
ham,The beauty of life is in next second.. which hides thousands of secrets. I wish every second will be wonderful in ur life...!! gud n8
spam,SMS SERVICES For your inclusive text credits pls gotto www.comuk.net login 3qxj9 unsubscribe with STOP no extra charge help 08702840625 comuk.220cm2 9AE
ham,He is world famamus....
ham,Water logging in desert. Geoenvironmental implications.
ham,You will be in the place of that man
ham,I got arrested for possession
ham,"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz..."
spam,2p per min to call Germany 08448350055 from your BT line. Just 2p per min. Check PlanetTalkInstant.com for info & T's & C's. Text stop to opt out
ham,There are many company. Tell me the language.
ham,"If i let you do this, i want you in the house by 8am."
ham,"Cool, I'll text you when I'm on the way"
ham,Jordan got voted out last nite!
ham,Love you aathi..love u lot..
ham,Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago.
ham,"Good evening Sir, hope you are having a nice day. I wanted to bring it to your notice that I have been late in paying rent for the past few months and have had to pay a $ #  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thank you for everything."
spam,"Your free ringtone is waiting to be collected. Simply text the password MIX to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
ham,Detroit. The home of snow. Enjoy it.
ham,"Nope, I'm still in the market"
